id;name;date;discipline;disciplineTxt;disciplineCZ;disciplineEN;level;levelCZ;levelEN;latitude;longitude;place;ranking
3816;Mistrovství oblasti na klasické trati;2017-05-27;1;KL;Klasická trať;Long distance;11;Oblastní mistrovství;Local champs;49.7969;14.1714;Dobříš - Vlaška;1
3817;Oblastní žebříček;2017-05-27;2;KT;Krátká trať;Middle distance;4;Oblastní žebříček;Local event;50.3144;12.6095;Šindelová;1
3818;Oblastní žebříček;2017-05-27;2;KT;Krátká trať;Middle distance;4;Oblastní žebříček;Local event;49.745;15.6995;Libice nad Doubravou;1
3819;Oblastní žebříček;2017-05-27;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;49.2449;16.6733;Bílovice nad Svitavou, Základní škola Komenského 151;1
3820;Mistrovství oblasti na krátké trati;2017-05-27;2;KT;Krátká trať;Middle distance;11;Oblastní mistrovství;Local champs;50.0632;17.3586;SUCHÁ RUDNÁ, hotel PARAMON, GPS: 50°03´48.2´´N, 17°21´39,5´´E;1
3821;Oblastní žebříček;2017-05-27;3;SP;Sprint;Sprint;4;Oblastní žebříček;Local event;49.7451;15.6994;Libice nad Doubravou;1
3822;Mistrovství oblasti na klasické trati;2017-05-28;1;KL;Klasická trať;Long distance;11;Oblastní mistrovství;Local champs;50.3144;12.6096;Šindelová;1
3823;Mistrovství oblasti na klasické trati;2017-05-28;1;KL;Klasická trať;Long distance;11;Oblastní mistrovství;Local champs;49.3467;13.9252;Láz u Radomyšle;1
3824;Oblastní žebříček;2017-05-28;2;KT;Krátká trať;Middle distance;4;Oblastní žebříček;Local event;50.2096;13.9837;Malíkovice;1
3594;Žebříček B-Morava, oblastní žebříček;2017-06-03;1;KL;Klasická trať;Long distance;3;Žebříček B;B - level;0;0;;1
3493;Manufaktura Český pohár, INOV-8 CUP - žebříček A, žebříček B-Čechy;2017-06-03;2;KT;Krátká trať;Middle distance;8;Český pohár;Czech cup;49.8968;14.291;Řitka - areál jezdeckého klubu Norma;1
3595;Žebříček B-Morava, oblastní žebříček;2017-06-04;2;KT;Krátká trať;Middle distance;3;Žebříček B;B - level;50.1053;17.4548;Karlovice, restaurace Malajka;1
3494;Manufaktura Český pohár, INOV-8 CUP - žebříček A, žebříček B-Čechy;2017-06-04;1;KL;Klasická trať;Long distance;8;Český pohár;Czech cup;49.8962;14.292;Řitka - areál jezdeckého klubu Norma;1
3280;Mistrovství a veteraniáda ČR na krátké trati (kvalifikace, WRE-Q);2017-06-10;2;KT;Krátká trať;Middle distance;1;Mistrovství ČR;Czech champs;49.6169;15.4157;Lipnice nad Sázavou, louka SV od obce;1
3281;Mistrovství a veteraniáda ČR na krátké trati (finále), WRE;2017-06-11;2;KT;Krátká trať;Middle distance;1;Mistrovství ČR;Czech champs;49.617;15.4158;Lipnice nad Sázavou, louka SV od obce;1
3596;Žebříček B-Čechy;2017-06-17;1;KL;Klasická trať;Long distance;3;Žebříček B;B - level;49.9828;15.5122;Litošice;1
3598;Žebříček B-Morava, oblastní žebříček;2017-06-17;1;KL;Klasická trať;Long distance;3;Žebříček B;B - level;49.6371;18.2732;RS Palkovické Hůrky, Palkovice 226;1
3597;Žebříček B-Čechy;2017-06-18;2;KT;Krátká trať;Middle distance;3;Žebříček B;B - level;49.9827;15.5105;Litošice;1
3599;Žebříček B-Morava, oblastní žebříček;2017-06-18;2;KT;Krátká trať;Middle distance;3;Žebříček B;B - level;49.6371;18.2732;RS Palkovické Hůrky, Palkovice 226;1
3825;Mistrovství oblasti na klasické trati, oblastní žebříček;2017-06-24;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;49.998;17.1539;Sobotín, sedlo Skřítek I/11;1
3826;Mistrovství oblasti na klasické trati;2017-06-24;1;KL;Klasická trať;Long distance;11;Oblastní mistrovství;Local champs;49.3054;16.4453;Sentice, louka nad obcí;1
3827;Oblastní žebříček;2017-06-24;2;KT;Krátká trať;Middle distance;4;Oblastní žebříček;Local event;50.0488;13.4118;Chvojkovský mlýn;1
3828;Oblastní žebříček;2017-06-24;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;0;0;Lány;1
3829;Oblastní žebříček;2017-06-24;3;SP;Sprint;Sprint;4;Oblastní žebříček;Local event;49.9836;13.4706;Sport-kemp Kralovice;1
3830;Oblastní žebříček;2017-06-25;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;50.0489;13.4119;Chvojkovský mlýn;1
3831;Oblastní žebříček;2017-06-25;2;KT;Krátká trať;Middle distance;4;Oblastní žebříček;Local event;50.7728;15.1967;Chata Slovanka;1
3832;Oblastní žebříček;2017-06-25;3;SP;Sprint;Sprint;4;Oblastní žebříček;Local event;50.7731;15.1966;Chata Slovanka;1
3850;Oblastní žebříček;2017-08-26;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;49.0302;14.4981;Borek - sportovní areál;1
3851;Oblastní žebříček;2017-08-27;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;48.8914;14.607;Trocnov, památník J.Žižky;1
3600;Žebříček B-Čechy;2017-09-09;1;KL;Klasická trať;Long distance;3;Žebříček B;B - level;49.3035;14.2334;Kluky - U Hromové jedle;1
